DTW,DistanceNormalization,FeatureNormalization,Clustering,Feature,SteelPenny,RobinsonFoulds
DTW-D,by-max,MMN,Complete,NGCC,0.340605735727687,581.78630904392
DTW-D,by-max,MMN,UPGMA,NGCC,0.341668900205486,660.975469479253
DTW-D,by-max,MMN,WPGMA,NGCC,0.338256052890199,674.342060754959
DTW-D,by-max,MMN,UPGMC,NGCC,0.555766997230412,1390.37097801886
DTW-D,by-max,MMN,WPGMC,NGCC,0.568399892790137,1288.09020629539
DTW-D,by-max,MMN,Ward,NGCC,0.393969445188957,573.059851323376
DTW-D,by-max,MMN,NJ,NGCC,0.263861341910122,442.959273082925
DTW-D,by-max,MMN,Single,PNCC,0.496399535423926,1084.11950422862
DTW-D,by-max,MMN,Complete,PNCC,0.272250513713928,481.366365788461
DTW-D,by-max,MMN,UPGMA,PNCC,0.337076744393818,616.081944516749
DTW-D,by-max,MMN,WPGMA,PNCC,0.358268560707585,744.75962298905
DTW-D,by-max,MMN,UPGMC,PNCC,0.533520950594121,1394.12921275108
DTW-D,by-max,MMN,WPGMC,PNCC,0.479299562226391,1199.32439700623
DTW-D,by-max,MMN,Ward,PNCC,0.378968998481194,552.327432985197
DTW-D,by-max,MMN,NJ,PNCC,0.263637988028232,468.868820634149
DTW-D,by-max,MMN,Single,PSRCC,0.742687393906906,1555.17074519821
DTW-D,by-max,MMN,Complete,PSRCC,0.710354685964442,1202.35067753413
DTW-D,by-max,MMN,UPGMA,PSRCC,0.708031805592781,1555.17074519821
DTW-D,by-max,MMN,WPGMA,PSRCC,0.709202179933887,1461.02890398572
DTW-D,by-max,MMN,UPGMC,PSRCC,0.710149200393103,1555.17074519821
DTW-D,by-max,MMN,WPGMC,PSRCC,0.712373805056732,1555.17074519821
DTW-D,by-max,MMN,Ward,PSRCC,0.707477887965693,1454.04075176306
DTW-D,by-max,MMN,NJ,PSRCC,0.73768426695256,1010.51817076056
DTW-D,by-max,MMN,Single,RPLP,0.495702671312427,1357.5814112695
DTW-D,by-max,MMN,Complete,RPLP,0.306548735817029,729.910707957074
DTW-D,by-max,MMN,UPGMA,RPLP,0.340471723398553,835.160441387061
DTW-D,by-max,MMN,WPGMA,RPLP,0.449977664611811,898.608632107729
DTW-D,by-max,MMN,UPGMC,RPLP,0.567274189225409,1499.69751621947
DTW-D,by-max,MMN,WPGMC,RPLP,0.499830251049763,1296.36610138545
DTW-D,by-max,MMN,Ward,RPLP,0.397069597069597,722.718404095198
DTW-D,by-max,MMN,NJ,RPLP,0.351567944250871,704.054956659374
DTW-D,by-max,MMVN,Single,BFCC,0.664245510586974,1417.44363176263
DTW-D,by-max,MMVN,Complete,BFCC,0.351237380505673,565.02317352117
